111426;BNP PARIBAS;Lisbon;PORTUGAL;Consultant;WINDOWS;JAVA;Tester;Open Ended Contract;Permanent Staff
111517;PT;Lisbon;PORTUGAL;Consultant;OSX;OBJECTIVE C;Analyst Programmer;Open Ended Contract;Permanent Staff
111558;BES;Lisbon;PORTUGAL;Consultant;SOLARIS;PL SQL;Tester;Open Ended Contract;Permanent Staff
111562;I2S;Porto;PORTUGAL;Consultant;WINDOWS;PL SQL;Analyst Programmer;Open Ended Contract;Permanent Staff
111574;PT GOV;Lisbon;PORTUGAL;Consultant;WINDOWS;JAVA;Tester;Open Ended Contract;Permanent Staff
111620;WIREMAZE;Porto;PORTUGAL;Consultant;OSX;OBJECTIVE C;Analyst Programmer;Open Ended Contract;Permanent Staff
111686;BES;Lisbon;PORTUGAL;Consultant;SOLARIS;PL SQL;Tester;Open Ended Contract;Permanent Staff
111770;I2S;Porto;PORTUGAL;Consultant;WINDOWS;PL SQL;Analyst Programmer;Open Ended Contract;Permanent Staff
111850;PT GOV;Lisbon;PORTUGAL;Consultant;WINDOWS;JAVA;Tester;Open Ended Contract;Permanent Staff
111890;WIREMAZE;Porto;PORTUGAL;Consultant;OSX;OBJECTIVE C;Analyst Programmer;Open Ended Contract;Permanent Staff
111913;B-ON;Lisbon;PORTUGAL;Manager;;;Manager of Consultants;Open Ended Contract;Permanent Staff
111926;B-ON;Lisbon;PORTUGAL;Finance;;;Finance Officer;Open Ended Contract;Permanent Staff
112082;PT;Lisbon;PORTUGAL;Consultant;OSX;OBJECTIVE C;Analyst Programmer;Open Ended Contract;Permanent Staff
112292;PT;Lisbon;PORTUGAL;Consultant;SOLARIS;PL SQL;Tester;Open Ended Contract;Permanent Staff
112397;VODAFONE;Lisbon;PORTUGAL;Consultant;WINDOWS;C#;Analyst Programmer;Open Ended Contract;Permanent Staff
112449;ALCATEL;Lisbon;PORTUGAL;Consultant;WINDOWS;PL SQL;Analyst Programmer;Open Ended Contract;Permanent Staff
112504;BNP PARIBAS;Lisbon;PORTUGAL;Consultant;WINDOWS;JAVA;Tester;Open Ended Contract;Permanent Staff
112532;ZON;Lisbon;PORTUGAL;Consultant;OSX;OBJECTIVE C;Analyst Programmer;Open Ended Contract;Permanent Staff
112536;B-ON;Lisbon;PORTUGAL;Marketing;;;Marketing Analyst;Open Ended Contract;Permanent Staff
112566;BNP PARIBAS;Paris;FRANCE;Consultant;WINDOWS;PL SQL;Analyst Programmer;Open Ended Contract;Permanent Staff
112583;B-ON;Lisbon;PORTUGAL;Manager;;;Manager of Consultants;Open Ended Contract;Permanent Staff
112588;BNP PARIBAS;Paris;FRANCE;Consultant;OSX;OBJECTIVE C;Analyst Programmer;Open Ended Contract;Permanent Staff
112591;BNP PARIBAS;Lisbon;PORTUGAL;Consultant;AS400;RPG;Analyst Programmer;Open Ended Contract;Permanent Staff
112601;PT;Lisbon;PORTUGAL;Consultant;WINDOWS;JAVA;Tester;Open Ended Contract;Permanent Staff
112701;BES;Lisbon;PORTUGAL;Consultant;OSX;OBJECTIVE C;Analyst Programmer;Open Ended Contract;Permanent Staff
